C C
C#C C#[CH:1]
C#N C#[N:1]
C#N N#[CH:1]
C1#CC=CCC=CC=C1 C1#CC=C[CH2:1]C=CC=C1
C1#CC=CCCCC=C1 C1#CC=CC[CH2:1]CC=C1
C1#CC=CCOCC=C1 C1#CC=C[CH2:1]OCC=C1
C1#CCC=CC=CC=C1 C1#C[CH2:1]C=CC=CC=C1
C1#CCC=CCCC=C1 C1#CCC=C[CH2:1]CC=C1
C1#CCCC=CC=CC1 C1#CC[CH2:1]C=CC=CC1
C1#CCCC=CCC=C1 C1#CC[CH2:1]C=CCC=C1
C1#CCCCC=CC=C1 C1#CC[CH2:1]CC=CC=C1
C1#CCCCC=CCC1 C1#CC[CH2:1]CC=CCC1
C1#CCCCCC=CC1 C1#CCC[CH2:1]CC=CC1
C1#CCCCCCC=C1 C1#CCC[CH2:1]CCC=C1
C1#CCCCCCCC1 C1#CCCC[CH2:1]CCC1
C1#CCCCOCC=C1 C1#CC[CH2:1]COCC=C1
C1#CCCCOCCC1 C1#CC[CH2:1]COCCC1
C1#CCCOC=NCC1 C1#CC[CH2:1]OC=NCC1
C1#CCCOCC=CC1 C1#CC[CH2:1]OCC=CC1
C1#CCCOCCC=C1 C1#CCCO[CH2:1]CC=C1
C1#CCCOCCCC1 C1#CCC[CH2:1]COCC1
C1#CCCOCOCC1 C1#CC[CH2:1]OCOCC1
C1#CCN=CNC=NC1 C1#C[CH2:1]N=CNC=NC1
C1#CCN=COCC=C1 C1#CCN=CO[CH2:1]C=C1
C1#CCN=COCCC1 C1#CC[CH2:1]COC=NC1
C1#CCOC=NCC=C1 C1#CCOC=N[CH2:1]C=C1
C1#CCOC=NCCC1 C1#CC[CH2:1]CN=COC1
C1#CCOCC=CC=C1 C1#CCO[CH2:1]C=CC=C1
C1#CCOCC=CCC1 C1#CC[CH2:1]C=CCOC1
C1#CCOCCC=CC1 C1#CCO[CH2:1]CC=CC1
C1#CCOCCCC=C1 C1#CCOC[CH2:1]CC=C1
C1#CCOCCCCC1 C1#CCOCC[CH2:1]CC1
C1#CCOCCCOC1 C1#CCOC[CH2:1]COC1
C1#CCOCCOCC1 C1#CCOC[CH2:1]OCC1
C1#CCOCOC=NC1 C1#CCO[CH2:1]OC=NC1
C1#CCOCOCC=C1 C1#CCO[CH2:1]OCC=C1
C1#CCOCOCCC1 C1#CC[CH2:1]COCOC1
C1=CC=CC=C1 C1=CC=[CH:1]C=C1
C1=CC=CC=C1 C1=CC=[CH:1][CH:1]=C1
C1=CC=CC=C1 C1=C[CH:1]=[CH:1]C=C1
C1=CC=CC=CC=C1 C1=CC=C[CH:1]=CC=C1
C1=CC=CCC=C1 C1=CC=C[CH2:1]C=C1
C1=CC=CCC=C1 C1=CC=[CH:1]CC=C1
C1=CC=CCC=C1 C1=CC=[CH:1][CH2:1]C=C1
C1=CC=CCC=C1 C1=CCC=C[CH:1]=C1
C1=CC=CCC=C1 C1=CCC=[CH:1]C=C1
C1=CC=CCC=CC=C1 C1=CC=C[CH2:1]C=CC=C1
C1=CC=CCCC=C1 C1=CC=C[CH2:1]CC=C1
C1=CC=CCCC=C1 C1=CC=C[CH2:1][CH2:1]C=C1
C1=CC=CCCC=C1 C1=CC=[CH:1]CCC=C1
C1=CC=CCCC=C1 C1=CCCC=C[CH:1]=C1
C1=CC=CCCC=C1 C1=CCCC=[CH:1]C=C1
C1=CC=CCCCC=C1 C1=CC=CC[CH2:1]CC=C1
C1=CC=CCOCC=C1 C1=CC=C[CH2:1]OCC=C1
C1=CC=CNC=C1 C1=CC=C[NH:1]C=C1
C1=CC=CNCC=C1 C1=CC=C[CH2:1]NC=C1
C1=CC=COC=CC=C1 C1=CC=C[O:1]C=CC=C1
C1=CC=COC=NC=C1 C1=CC=C[O:1]C=NC=C1
C1=CC=C[NH]C=CC=C1 C1=CC=C[NH:1]C=CC=C1
C1=CC=C[NH]C=NC=C1 C1=CC=C[NH:1]C=NC=C1
C1=CC=NC=C1 C1=CC=[CH:1]N=C1
C1=CC=NC=C1 C1=CN=C[CH:1]=C1
C1=CC=NC=C1 C1=CN=[CH:1]C=C1
C1=CC=NC=C1 C1=CN=[CH:1][CH:1]=C1
C1=CC=NC=C1 C1=C[CH:1]=CC=N1
C1=CC=NC=C1 C1=C[CH:1]=CN=C1
C1=CC=NC=C1 C1=C[CH:1]=[CH:1]C=N1
C1=CC=NC=C1 C1=C[CH:1]=[CH:1]N=C1
C1=CC=NC=C1 C1=NC=C[CH:1]=C1
C1=CC=NC=C1 C1=NC=[CH:1][CH:1]=C1
C1=CC=NC=COC=C1 C1=CC=NC=C[O:1]C=C1
C1=CC=NC=C[NH]C=C1 C1=CC=NC=C[NH:1]C=C1
C1=CC=NCC=C1 C1=CC=N[CH2:1]C=C1
C1=CC=NCC=C1 C1=CC=[CH:1]CN=C1
C1=CC=NCC=C1 C1=CCN=C[CH:1]=C1
C1=CC=NCC=C1 C1=CCN=[CH:1]C=C1
C1=CC=NCC=C1 C1=C[CH:1]=CC=NC1
C1=CC=NCC=C1 C1=C[CH:1]=CCN=C1
C1=CC=NCN=C1 C1=CC=N[CH2:1]N=C1
C1=CC=NCN=C1 C1=C[CH:1]=NCN=C1
C1=CC=NCN=C1 C1=NCN=C[CH:1]=C1
C1=CC=NN=C1 C1=C[CH:1]=NN=C1
C1=CC=NN=C1 C1=NN=C[CH:1]=C1
C1=CCC=C1 C1=CC[CH:1]=C1
